anio,cat,siaf_id,pia,pim,devengado
2008,total,300316,1855938,2163863,1852017
2008,total,300317,3282171,7755344,4221685
2008,total,300318,1060349,1485209,1328887
2008,total,300319,1757573,1831128,1609724
2008,total,300320,913981,1374144,1358254
2008,total,300321,660506,949182,859641
2008,total,300322,714684,851678,744386
2008,total,300323,730684,798677,765195
2008,total,300324,1277367,1699731,1509994
2008,total,300325,640927,831113,667172
2008,total,300326,690400,674800,654461
2008,total,300327,658047,777529,699970
2008,total,300328,700379,722872,643385
2008,total,300329,698151,927036,805291
2008,total,300330,782263,1063870,1049198
2008,total,300331,54387178,115804525,79355798
2008,total,300332,10559375,23670689,15807577
2008,total,300333,15176917,35578375,17542425
2008,total,300334,23139102,78880502,25939684
2008,total,300335,1524081,5115016,2528506
2008,total,300336,1237133,2746916,1494709
2008,total,300337,7608988,17051934,10320086
2008,total,300338,6551669,24240230,10053623
2008,total,300339,8108943,24181404,12955642
2008,total,300340,7983608,18355356,7582003
2008,total,300341,789130,1814675,1276335
2008,total,300342,19274762,42198607,26883250
2008,total,300343,682083,1076928,703786
2008,total,300344,1077436,3614414,1823686
2008,total,300345,723112,1864152,1060596
2008,total,300346,1651275,4948815,1880764
2008,total,300347,5575178,25151606,11051193
2008,total,300348,980831,2259150,1364344
2008,total,300349,1334419,3201670,1778240
2008,total,300350,832834,2185698,932295
2008,total,300351,1637212,4756728,3087829
2008,total,300352,9155838,25014663,12144067
2008,total,300353,6741449,32217459,5460347
2008,total,300354,4936056,22895643,6619694
2008,total,300355,1528095,7779276,4054946
2008,total,300356,5041475,12941484,9467279
2008,total,300357,3855292,19996851,3597967
2008,total,300358,5211408,20340733,4662441
2008,total,300359,12703265,29571045,16990923
2008,total,300360,4992582,9720296,7409052
2008,total,300361,1156040,2571076,1942821
2008,total,300362,1107006,3551871,1408123
2008,total,300363,1594686,4136215,2678106
2008,total,300364,1608698,3607748,2251252
2008,total,300365,1574984,3879148,2355633
2008,total,300366,759781,1315887,1142071
2008,total,300367,3067253,7018611,4031137
2008,total,300368,2004376,3965806,3078284
2008,total,300369,1415826,3442756,2757712
2008,total,300370,1581658,4170691,2241284
2008,total,300371,637322,1332362,909656
2008,total,300372,1110593,4670161,2658582
2008,total,300373,774855,1137209,882288
2008,total,300374,1246012,4311629,2238108
2008,total,300375,1280064,3885437,1547099
