ano,semana,tipo_dx,n
2011,13,C,513
2011,14,C,309
2011,15,C,227
2011,16,C,191
2011,17,C,138
2011,18,C,142
2011,19,C,117
2011,20,C,134
2011,21,C,95
2011,22,C,129
2011,23,C,89
2011,24,C,97
2011,25,C,84
2011,26,C,88
2011,27,C,84
2011,28,C,51
2011,29,C,71
2011,30,C,61
2011,31,C,56
2011,32,C,57
2011,33,C,59
2011,34,C,60
2011,35,C,32
2011,36,C,43
2011,37,C,51
2011,38,C,71
2011,39,C,78
2011,40,C,66
2011,41,C,73
2011,42,C,79
2011,43,C,67
2011,44,C,95
2011,45,C,118
2011,46,C,118
2011,47,C,175
2011,48,C,189
2011,49,C,354
2011,50,C,389
2011,51,C,400
2011,52,C,341
2012,1,C,567
2012,2,C,774
2012,3,C,753
2012,4,C,681
2012,5,C,693
2012,6,C,546
2012,7,C,433
2012,8,C,489
2012,9,C,451
2012,10,C,511
2012,11,C,604
2012,12,C,625
2012,13,C,585
2012,14,C,505
2012,15,C,512
2012,16,C,457
2012,17,C,421
2012,18,C,432
2012,19,C,494
2012,20,C,544
2012,21,C,482
2012,22,C,450
2012,23,C,384
2012,24,C,337
2012,25,C,433
2012,26,C,427
2012,27,C,504
2012,28,C,412
2012,29,C,365
2012,30,C,303
2012,31,C,298
2012,31,P,1
2012,32,C,344
2012,33,C,291
2012,34,C,267
2012,35,C,183
2012,36,C,141
2012,37,C,97
2012,38,C,106
2012,39,C,94
2012,40,C,91
2012,41,C,141
2012,42,C,184
2012,43,C,287
2012,44,C,502
2012,45,C,1333
2012,46,C,1969
2012,47,C,1791
2012,48,C,1913
2012,49,C,1260
2012,50,C,957
2012,51,C,623
2012,52,C,458
2013,1,C,307
2013,2,C,255
2013,3,C,270
2013,4,C,266
2013,5,C,282
2013,6,C,388
2013,7,C,310
2013,8,C,317
2013,9,C,295
2013,10,C,369
2013,11,C,390
2013,12,C,480
2013,13,C,458
2013,14,C,548
2013,15,C,564
2013,16,C,582
2013,17,C,426
2013,18,C,326
2013,19,C,291
2013,20,C,366
2013,21,C,290
