Año,Mes,País,Turistas
2011,7,México,4598
2011,7,Nicaragua,97
2011,7,Noruega,461
2011,7,Nueva Zelandia,489
2011,7,Países Bajos,3291
2011,7,Panamá,782
2011,7,Paraguay,483
2011,7,Polonia,591
2011,7,Portugal,402
2011,7,Puerto Rico,81
2011,7,Reino Unido,6063
2011,7,Republica Checa,365
2011,7,Rep. Dominicana,288
2011,7,Rumania,100
2011,7,Rusia (Fed),565
2011,7,Singapur,77
2011,7,Sudáfrica,204
2011,7,Suecia,649
2011,7,Suiza,2206
2011,7,Tailandia,32
2011,7,Taiwán,196
2011,7,Trinidad y Tobago,57
2011,7,Turquía,51
2011,7,Ucrania,84
2011,7,Uruguay,828
2011,7,Venezuela,4075
2011,7,Vietnam,24
2011,7,Resto del Mundo,965
2011,8,Alemania,5805
2011,8,Argentina,11053
2011,8,Aruba,17
2011,8,Australia,2401
2011,8,Austria,692
2011,8,Bélgica,1073
2011,8,Bielorrusia,23
2011,8,Bolivia,7315
2011,8,Brasil,9749
2011,8,Bulgaria,68
2011,8,Canadá,4779
2011,8,Chile,62991
2011,8,China,907
2011,8,Colombia,9427
2011,8,Corea del Sur,743
2011,8,Costa Rica,821
2011,8,Croacia,43
2011,8,Cuba,360
2011,8,Dinamarca,286
2011,8,Ecuador,19014
2011,8,Estados Unidos,34303
2011,8,Egipto,37
2011,8,El Salvador,457
2011,8,Eslovaquia,88
2011,8,Eslovenia,83
2011,8,España,10916
2011,8,Filipinas,246
2011,8,Finlandia,98
2011,8,Francia,8325
2011,8,Grecia,266
2011,8,Guatemala,301
2011,8,Honduras,178
2011,8,Hong Kong,55
2011,8,Hungría,91
2011,8,India,309
2011,8,Indonesia,176
2011,8,Irlanda,502
2011,8,Israel,973
2011,8,Italia,6486
2011,8,Japón,3351
2011,8,Lituania,42
2011,8,Malasia,117
2011,8,Marruecos,21
2011,8,México,4020
2011,8,Nicaragua,129
2011,8,Noruega,244
2011,8,Nueva Zelandia,600
2011,8,Países Bajos,1932
2011,8,Panamá,819
2011,8,Paraguay,383
2011,8,Polonia,471
2011,8,Portugal,444
2011,8,Puerto Rico,37
2011,8,Reino Unido,4437
2011,8,Republica Checa,285
2011,8,Rep. Dominicana,280
2011,8,Rumania,101
2011,8,Rusia (Fed),521
2011,8,Singapur,101
2011,8,Sudáfrica,292
2011,8,Suecia,337
2011,8,Suiza,1216
2011,8,Tailandia,34
2011,8,Taiwán,180
2011,8,Trinidad y Tobago,43
2011,8,Turquía,223
2011,8,Ucrania,154
2011,8,Uruguay,831
2011,8,Venezuela,5682
2011,8,Vietnam,137
2011,8,Resto del Mundo,1022
2011,9,Alemania,4919
2011,9,Argentina,11436
2011,9,Aruba,15
2011,9,Australia,2900
2011,9,Austria,623
2011,9,Bélgica,1456
2011,9,Bielorrusia,44
2011,9,Bolivia,7410
2011,9,Brasil,10543
2011,9,Bulgaria,68
2011,9,Canadá,3713
2011,9,Chile,56671
2011,9,China,941
2011,9,Colombia,8641
2011,9,Corea del Sur,803
2011,9,Costa Rica,822
2011,9,Croacia,93
2011,9,Cuba,370
2011,9,Dinamarca,450
2011,9,Ecuador,12979
2011,9,Estados Unidos,27893
2011,9,Egipto,9
2011,9,El Salvador,449
2011,9,Eslovaquia,91
2011,9,Eslovenia,124
2011,9,España,8824
2011,9,Filipinas,191
2011,9,Finlandia,160
2011,9,Francia,6731
2011,9,Grecia,96
2011,9,Guatemala,280
2011,9,Honduras,177
2011,9,Hong Kong,50
2011,9,Hungría,165
2011,9,India,293
2011,9,Indonesia,138
2011,9,Irlanda,457
2011,9,Israel,975
2011,9,Italia,3214
2011,9,Japón,4707
2011,9,Lituania,41
2011,9,Malasia,131
2011,9,Marruecos,11
2011,9,México,4040
2011,9,Nicaragua,131
2011,9,Noruega,291
2011,9,Nueva Zelandia,427
2011,9,Países Bajos,2193
2011,9,Panamá,885
2011,9,Paraguay,341
2011,9,Polonia,698
2011,9,Portugal,378
2011,9,Puerto Rico,37
2011,9,Reino Unido,4847
2011,9,Republica Checa,371
2011,9,Rep. Dominicana,224
2011,9,Rumania,153
2011,9,Rusia (Fed),508
2011,9,Singapur,92
2011,9,Sudáfrica,342
2011,9,Suecia,531
2011,9,Suiza,1323
2011,9,Tailandia,79
2011,9,Taiwán,184
2011,9,Trinidad y Tobago,25
2011,9,Turquía,82
2011,9,Ucrania,147
2011,9,Uruguay,1033
2011,9,Venezuela,4545
2011,9,Vietnam,66
2011,9,Resto del Mundo,1108
2011,10,Alemania,5442
2011,10,Argentina,12215
2011,10,Aruba,18
2011,10,Australia,2954
2011,10,Austria,733
2011,10,Bélgica,1374
2011,10,Bielorrusia,36
2011,10,Bolivia,7559
2011,10,Brasil,10808
2011,10,Bulgaria,150
2011,10,Canadá,4754
2011,10,Chile,69064
2011,10,China,1305
2011,10,Colombia,9434
2011,10,Corea del Sur,900
2011,10,Costa Rica,915
2011,10,Croacia,86
2011,10,Cuba,369
2011,10,Dinamarca,740
2011,10,Ecuador,11329
2011,10,Estados Unidos,31027
2011,10,Egipto,12
2011,10,El Salvador,585
2011,10,Eslovaquia,112
2011,10,Eslovenia,121
2011,10,España,9408
2011,10,Filipinas,217
2011,10,Finlandia,271
2011,10,Francia,7757
2011,10,Grecia,88
2011,10,Guatemala,351
2011,10,Honduras,185
2011,10,Hong Kong,70
2011,10,Hungría,159
2011,10,India,253
2011,10,Indonesia,172
2011,10,Irlanda,480
2011,10,Israel,863
2011,10,Italia,3249
2011,10,Japón,3569
2011,10,Lituania,74
2011,10,Malasia,166
2011,10,Marruecos,14
2011,10,México,4168
2011,10,Nicaragua,101
2011,10,Noruega,745
2011,10,Nueva Zelandia,407
2011,10,Países Bajos,2458
2011,10,Panamá,855
2011,10,Paraguay,511
2011,10,Polonia,732
2011,10,Portugal,352
2011,10,Puerto Rico,35
2011,10,Reino Unido,4958
2011,10,Republica Checa,357
2011,10,Rep. Dominicana,311
2011,10,Rumania,189
2011,10,Rusia (Fed),875
2011,10,Singapur,136
2011,10,Sudáfrica,252
2011,10,Suecia,1065
2011,10,Suiza,1784
2011,10,Tailandia,52
2011,10,Taiwán,183
2011,10,Trinidad y Tobago,25
2011,10,Turquía,183
2011,10,Ucrania,140
2011,10,Uruguay,1055
2011,10,Venezuela,4714
2011,10,Vietnam,66
2011,10,Resto del Mundo,1321
2011,11,Alemania,4565
2011,11,Argentina,10147
2011,11,Aruba,16
2011,11,Australia,2737
2011,11,Austria,660
2011,11,Bélgica,802
2011,11,Bielorrusia,24
2011,11,Bolivia,6981
2011,11,Brasil,9062
2011,11,Bulgaria,101
2011,11,Canadá,4399
2011,11,Chile,57494
2011,11,China,1253
2011,11,Colombia,10595
2011,11,Corea del Sur,1036
2011,11,Costa Rica,831
2011,11,Croacia,91
2011,11,Cuba,382
2011,11,Dinamarca,427
2011,11,Ecuador,18569
2011,11,Estados Unidos,27680
2011,11,Egipto,15
2011,11,El Salvador,446
2011,11,Eslovaquia,89
2011,11,Eslovenia,76
2011,11,España,9027
2011,11,Filipinas,182
2011,11,Finlandia,253
2011,11,Francia,5882
2011,11,Grecia,76
2011,11,Guatemala,383
2011,11,Honduras,189
2011,11,Hong Kong,42
2011,11,Hungría,188
2011,11,India,285
2011,11,Indonesia,147
2011,11,Irlanda,433
2011,11,Israel,475
2011,11,Italia,3446
2011,11,Japón,3733
2011,11,Lituania,85
2011,11,Malasia,148
2011,11,Marruecos,32
2011,11,México,4214
2011,11,Nicaragua,135
2011,11,Noruega,619
2011,11,Nueva Zelandia,527
2011,11,Países Bajos,1953
2011,11,Panamá,1084
2011,11,Paraguay,389
2011,11,Polonia,1041
2011,11,Portugal,364
2011,11,Puerto Rico,45
2011,11,Reino Unido,3557
2011,11,Republica Checa,378
2011,11,Rep. Dominicana,310
2011,11,Rumania,154
2011,11,Rusia (Fed),762
2011,11,Singapur,147
2011,11,Sudáfrica,256
2011,11,Suecia,1033
2011,11,Suiza,1552
2011,11,Tailandia,35
2011,11,Taiwán,266
2011,11,Trinidad y Tobago,25
2011,11,Turquía,323
2011,11,Ucrania,156
2011,11,Uruguay,912
2011,11,Venezuela,5095
2011,11,Vietnam,105
2011,11,Resto del Mundo,1529
2011,12,Alemania,4731
2011,12,Argentina,14786
2011,12,Aruba,45
2011,12,Australia,3174
2011,12,Austria,455
2011,12,Bélgica,861
2011,12,Bielorrusia,34
2011,12,Bolivia,11385
2011,12,Brasil,10083
2011,12,Bulgaria,61
2011,12,Canadá,5585
2011,12,Chile,58829
2011,12,China,1300
2011,12,Colombia,11987
2011,12,Corea del Sur,1343
2011,12,Costa Rica,872
2011,12,Croacia,85
2011,12,Cuba,340
2011,12,Dinamarca,417
2011,12,Ecuador,13147
2011,12,Estados Unidos,35767
2011,12,Egipto,32
2011,12,El Salvador,448
2011,12,Eslovaquia,41
2011,12,Eslovenia,34
2011,12,España,9397
2011,12,Filipinas,292
2011,12,Finlandia,328
2011,12,Francia,4494
